iter	RMSE
0	13.88111363
1	13.04224452
2	12.26953532
3	11.5733862
4	10.88236082
5	10.36241721
6	9.812252594
7	9.359554205
8	8.959135187
9	8.567262947
10	8.209271596
11	7.906933491
12	7.632995748
13	7.399504243
14	7.166418029
15	6.972235817
16	6.776471703
17	6.61206174
18	6.46255812
19	6.323717922
20	6.223134324
21	6.128134959
22	6.035378576
23	5.9512479
24	5.871707851
25	5.807799464
26	5.739272693
27	5.683091992
28	5.625810719
29	5.577488473
30	5.536724332
31	5.494720827
32	5.451841491
33	5.421217871
34	5.381243933
35	5.344117449
36	5.320391005
37	5.303824391
38	5.286514125
39	5.258060973
40	5.243295261
41	5.231120617
42	5.214253044
43	5.201059196
44	5.183414033
45	5.17027229
46	5.1475097
47	5.137278946
48	5.121834761
49	5.098661811
50	5.082410089
51	5.064590017
52	5.06274966
53	5.045690047
54	5.03488099
55	5.024226929
56	5.012920027
57	5.004731007
58	4.99380692
59	4.980086405
60	4.969438828
61	4.962659762
62	4.949451538
63	4.938676869
64	4.931772678
65	4.920943004
66	4.911683344
67	4.909340902
68	4.902778032
69	4.885200149
70	4.876940204
71	4.866019835
72	4.855716668
73	4.843802241
74	4.836250111
75	4.821203492
76	4.808111757
77	4.80108135
78	4.79293826
79	4.784410331
80	4.774683149
81	4.768570822
82	4.758135971
83	4.752354111
84	4.745189369
85	4.73546835
86	4.721823742
87	4.710981257
88	4.706003823
89	4.702908404
90	4.692788606
91	4.68604127
92	4.681248109
93	4.675261474
94	4.667141495
95	4.665633607
96	4.653794291
97	4.634230431
98	4.62868156
99	4.622814594
