iter	Passed	Remaining
0	0	78
1	1	72
2	2	67
3	2	64
4	3	62
5	3	59
6	4	57
7	4	55
8	5	54
9	5	53
10	6	52
11	7	51
12	7	51
13	8	50
14	8	49
15	9	48
16	9	48
17	10	47
18	10	46
19	11	45
20	11	44
21	12	44
22	13	43
23	13	42
24	14	42
25	14	41
26	15	41
27	15	40
28	16	40
29	16	39
30	17	38
31	18	38
32	18	37
33	19	37
34	19	36
35	20	35
36	20	35
37	21	34
38	21	34
39	22	33
40	22	33
41	23	32
42	24	31
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	29	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	17
69	38	16
70	38	15
71	39	15
72	40	14
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	10
82	46	9
83	46	8
84	47	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	56	0
99	56	0
